Institution,Program,Level,Accredited
11190.,UFKC1113 MICRO-CREDENTIAL: INFORMATION SYSTEMS,Bachelor of Economics (Honours) Global Economics,A9682
11191.,UFKC1023 MICRO-CREDENTIAL: MICROECONOMICS I,Bachelor of Economics (Honours) Global Economics,A9682
11192.,UFKF1013 MICRO-CREDENTIAL: QUANTITATIVE TECHNIQUES I,Bachelor of Economics (Honours) Global Economics,A9682
11193.,UFKC1033 MICRO-CREDENTIAL: MACROECONOMICS I,Bachelor of Economics (Honours) Global Economics,A9682
11194.,UFKC2013 MICRO-CREDENTIAL: MICROECONOMICS II,Bachelor of Economics (Honours) Global Economics,A9682
11195.,UFKF1023 MICRO-CREDENTIAL: QUANTITATIVE TECHNIQUES II,Bachelor of Economics (Honours) Global Economics,A9682
11196.,UFKI1013 MICRO-CREDENTIAL: MANAGEMENT PRINCIPLES,Bachelor of Economics (Honours) Global Economics,A9682
11197.,UFKC2053 MICRO-CREDENTIAL: MALAYSIAN ECONOMY,Bachelor of Economics (Honours) Global Economics,A9682
11198.,UFKL1013 MICRO-CREDENTIAL: PRINCIPLES OF MARKETING,Bachelor of Economics (Honours) Global Economics,A9682
11199.,UFKC3053 MICRO-CREDENTIAL: INTERNATIONAL FINANCE MANAGEMENT,Bachelor of Economics (Honours) Global Economics,A9682
11200.,UFKF2013 MICRO-CREDENTIAL: BASIC ECONOMETRICS,Bachelor of Economics (Honours) Global Economics,A9682
11201.,UFAN1003 MICRO-CREDENTIAL: INTRODUCTION TO THAI LANGUAGE,Bachelor of Economics (Honours) Global Economics,A9682
11202.,UFJB1093 MICRO-CREDENTIAL: INTRODUCTION TO KOREAN,Bachelor of Economics (Honours) Global Economics,A9682
11203.,MFPB3113 MICRO-CREDENTIAL: HUBUNGAN ETNIK,Bachelor of Economics (Honours) Global Economics,A9682
11204.,MFPB3173 MICRO-CREDENTIAL: MALAYSIAN STUDIES 3,Bachelor of Economics (Honours) Global Economics,A9682
11205.,UFKB3053 MICRO-CREDENTIAL: INTERNATIONAL FINANCE MANAGEMENT,Bachelor of Economics (Honours) Global Economics,A9682
11206.,UFKE2013 MICRO-CREDENTIAL: BASIC ECONOMETRICS,Bachelor of Economics (Honours) Global Economics,A9682
11207.,UKFB3013 MICRO-CREDENTIAL: RESEARCH METHODS,Bachelor of Economics (Honours) Global Economics,A9682
11208.,UFAK1003 MICRO-CREDENTIAL: INTRODUCTION TO TAMIL LANGUAGE,Bachelor of Economics (Honours) Global Economics,A9682
11209.,UFAB3033 MICRO-CREDENTIAL:  PUBLIC SPEAKING AND ORAL PRESENTATION,Bachelor of Economics (Honours) Global Economics,A9682
11210.,UFKF2023 MICRO-CREDENTIAL: ECONOMETRICS,Bachelor of Economics (Honours) Global Economics,A9682
11211.,UFPB3143 MICRO-CREDENTIAL: BAHASA MELAYU KOMUNIKASI 2,Bachelor of Economics (Honours) Global Economics,A9682
11212.,UFKB2023 MICRO-CREDENTIAL: MACROECONOMICS II,Bachelor of Economics (Honours) Global Economics,A9682
11213.,UFKE2023 MICRO-CREDENTIAL: ECONOMETRICS,Bachelor of Economics (Honours) Global Economics,A9682
11214.,UFKB2013 MICRO-CREDENTIAL: BUSINESS FINANCE,Bachelor of Economics (Honours) Global Economics,A9682
11215.,UFKE3013 MICRO-CREDENTIAL: INTERNATIONAL BUSINESS,Bachelor of Economics (Honours) Global Economics,A9682
11216.,UFKH3013 MICRO-CREDENTIAL: E-COMMERCE,Bachelor of Economics (Honours) Global Economics,A9682
11217.,UFKB2043 MICRO-CREDENTIAL: ECONOMIC DEVELOPMENT,Bachelor of Economics (Honours) Global Economics,A9682
11218.,UFKB3363 MICRO-CREDENTIAL: ISLAMIC FINANCE,Bachelor of Economics (Honours) Global Economics,A9682
11219.,UFKB3094 MICRO-CREDENTIAL: INTERNATIONAL TRADE THEORY AND POLICY,Bachelor of Economics (Honours) Global Economics,A9682
11220.,UFKB3104 MICRO-CREDENTIAL: CURRENT ISSUES IN GLOBAL ECONOMICS,Bachelor of Economics (Honours) Global Economics,A9682
11221.,UFKB3124 MICRO-CREDENTIAL: MONETARY ECONOMICS,Bachelor of Economics (Honours) Global Economics,A9682
11222.,UFKB4034 MICRO-CREDENTIAL: GLOBAL BUSINESS STRATEGY,Bachelor of Economics (Honours) Global Economics,A9682
11223.,UKFB3093 MICRO-CREDENTIAL: GLOBAL ENVIRONMENTAL ECONOMICS,Bachelor of Economics (Honours) Global Economics,A9682
11224.,UKFB3313 MICRO-CREDENTIAL: STRATEGIC FINANCIAL MANAGEMENT,Bachelor of Economics (Honours) Global Economics,A9682
11225.,MFPB34152 MICRO-CREDENTIAL: LEADERSHIP AND TEAMBUILDING,Bachelor of Economics (Honours) Global Economics,A9682
11226.,MFPB34162 MICRO-CREDENTIAL: BUSINESS PLAN WRITING & PREPARATION,Bachelor of Economics (Honours) Global Economics,A9682
11227.,UFKB1063 MICRO-CREDENTIAL: FINANCIAL ACCOUNTING FRAMEWORK II,Bachelor of Economics (Honours) Global Economics,A9682
11228.,UFKB1033 MICRO-CREDENTIAL: MACROECONOMICS I,Bachelor of Economics (Honours) Global Economics,A9682
11229.,UFKH2013 MICRO-CREDENTIAL: MICROECONOMICS II,Bachelor of Economics (Honours) Global Economics,A9682
11230.,UFKE1023 MICRO-CREDENTIAL: QUANTITATIVE TECHNIQUES II,Bachelor of Economics (Honours) Global Economics,A9682
11231.,UFKH1013 MICRO-CREDENTIAL: MANAGEMENT PRINCIPLES,Bachelor of Economics (Honours) Global Economics,A9682
11232.,UFKB1011 MICRO-CREDENTIAL: SUN ZI'S ART OF WAR AND BUSINESS STRATEGIES,Bachelor of Economics (Honours) Global Economics,A9682
11233.,MFPB34012 MICRO-CREDENTIAL: SOCIAL ENTREPRENEURSHIP PROJECT,Bachelor of Economics (Honours) Global Economics,A9682
11234.,MFPB33033 MICRO-CREDENTIAL: ARTS AND CULTURAL PERFORMANCE,Bachelor of Economics (Honours) Global Economics,A9682
11235.,MFPB34022 MICRO-CREDENTIAL: COMMUNITY PROJECT,Bachelor of Economics (Honours) Global Economics,A9682
11236.,"MFPB34042 MICRO-CREDENTIAL: LANGUAGE, CULTURE AND SOCIAL STUDY ABROAD",Bachelor of Economics (Honours) Global Economics,A9682
11237.,MFPB34052 MICRO-CREDENTIAL: TEAM WORK AND COLLABORATIVE PROJECT,Bachelor of Economics (Honours) Global Economics,A9682
11238.,MFPB34062 MICRO-CREDENTIAL: STUDY SOFT SKILLS AND/OR LIFE SKILLS ABROAD,Bachelor of Economics (Honours) Global Economics,A9682
11239.,"MFPB34072 MICRO-CREDENTIAL: ART, CRAFT, AND DESIGN",Bachelor of Economics (Honours) Global Economics,A9682
11240.,MFPB34082 MICRO-CREDENTIAL: ORAL COMMUNICATION,Bachelor of Economics (Honours) Global Economics,A9682
11241.,MFPB34092 MICRO-CREDENTIAL: MUSIC PERFORMANCE,Bachelor of Economics (Honours) Global Economics,A9682
11242.,MFPB34102 MICRO-CREDENTIAL: MANAGING PERSONAL FINANCE,Bachelor of Economics (Honours) Global Economics,A9682
11243.,MFPB34112 MICRO-CREDENTIAL: WORK ETHICS AND EQ,Bachelor of Economics (Honours) Global Economics,A9682
11244.,UFKB2003 MICRO-CREDENTIAL: ENGLISH FOR MANAGEMENT,Bachelor of Economics (Honours) Global Economics,A9682
11245.,MFPB34132 MICRO-CREDENTIAL: MANAGEMENT OF SPORTS ACTIVITY,Bachelor of Economics (Honours) Global Economics,A9682
11246.,UFKB2053 MICRO-CREDENTIAL: MALAYSIAN ECONOMY,Bachelor of Economics (Honours) Global Economics,A9682
11247.,UFKK1013 MICRO-CREDENTIAL: PRINCIPLES OF MARKETING,Bachelor of Economics (Honours) Global Economics,A9682
11248.,MFPB32013 MICRO-CREDENTIAL: BAHASA KEBANGSAAN A,Bachelor of Economics (Honours) Global Economics,A9682
11249.,UFAE1003 MICRO-CREDENTIAL: INTRODUCTION TO GERMAN LANGUAGE,Bachelor of Economics (Honours) Global Economics,A9682
11250.,UFAH1003 MICRO-CREDENTIAL: INTRODUCTION TO FRENCH,Bachelor of Economics (Honours) Global Economics,A9682
11251.,UFAB2013 MICRO-CREDENTIAL: INTRODUCTION TO JAPANESE,Bachelor of Economics (Honours) Global Economics,A9682
11252.,MFPB33033 MICRO-CREDENTIAL: ENGLISH FOR BUSINESS,Bachelor of Economics (Honours) Global Economics,A9682
11253.,UFKB1013 MICRO-CREDENTIAL: FINANCIAL ACCOUNTING FRAMEWORK I,Bachelor of Economics (Honours) Global Economics,A9682
11254.,UFKB1113 MICRO-CREDENTIAL: INFORMATION SYSTEMS,Bachelor of Economics (Honours) Global Economics,A9682
11255.,UFKB1023 MICRO-CREDENTIAL: MICROECONOMICS I,Bachelor of Economics (Honours) Global Economics,A9682
11256.,UFKE1013 MICRO-CREDENTIAL: QUANTITATIVE TECHNIQUES I,Bachelor of Economics (Honours) Global Economics,A9682
11257.,UFJB1073 MICRO-CREDENTIAL: COMMUNICATIVE TAMIL FOR HEALTH SCIENCES,Bachelor of International Business (Honours),A9683
11258.,UFJB1093 MICRO-CREDENTIAL: INTRODUCTION TO KOREAN,Bachelor of International Business (Honours),A9683
11259.,UFKT1013 MICRO-CREDENTIAL: PRINCIPLES OFINTERNATIONAL BUSINESS,Bachelor of International Business (Honours),A9683
11260.,UFKW1013 MICRO-CREDENTIAL: CROSS CULTURAL MANAGEMENT,Bachelor of International Business (Honours),A9683
11261.,MFPB33273 MICRO-CREDENTIAL: MARKETING COMMUNICATION,Bachelor of International Business (Honours),A9683
11262.,UFAB2003 MICRO-CREDENTIAL: ENGLISH FOR MANAGEMENT,Bachelor of International Business (Honours),A9683
11263.,UFKB4014 MICRO-CREDENTIAL: INTERNATIONAL HUMAN RESOURCE MANAGEMENT,Bachelor of International Business (Honours),A9683
11264.,UFKK2013 MICRO-CREDENTIAL: BUSINESS RESEARCH,Bachelor of International Business (Honours),A9683
11265.,UKFB2333 MICRO-CREDENTIAL: SOCIAL MEDIA STRATEGIES FOR BUSINESS,Bachelor of International Business (Honours),A9683
11266.,UFKB2413 MICRO-CREDENTIAL: STRATEGIC BRAND MANAGEMENT,Bachelor of International Business (Honours),A9683
11267.,UFKO2033/ UFKF2043 MICRO-CREDENTIAL: CUSTOMER RELATIONSHIP MANAGEMENT,Bachelor of International Business (Honours),A9683
11268.,"UFKU2013 MICRO-CREDENTIAL: CUSTOMER RELATIONSHIP MANAGEMENT""",Bachelor of International Business (Honours),A9683
11269.,UFKO2013 MICRO-CREDENTIAL: INTERNATIONAL MARKETING,Bachelor of International Business (Honours),A9683
11270.,UFKC3033 MICRO-CREDENTIAL: CORPORATE GOVERNANCE,Bachelor of International Business (Honours),A9683
11271.,UFKC4024/ UFKF4034 MICRO-CREDENTIAL: MULTINATIONAL FINANCE,Bachelor of International Business (Honours),A9683
11272.,UFKC4034/ UFKC4044 MICRO-CREDENTIAL: GLOBAL BUSINESS STRATEGY,Bachelor of International Business (Honours),A9683
11273.,UFKC3014 MICRO-CREDENTIAL: INTERNATIONAL LOGISTICS,Bachelor of International Business (Honours),A9683
11274.,UFKF3013/ UFKC3023 MICRO-CREDENTIAL: STRATEGIC MANAGEMENT,Bachelor of International Business (Honours),A9683
11275.,UFKC3104/ UKFC3204 MICRO-CREDENTIAL: CURRENT ISSUES IN GLOBAL ECONOMICS,Bachelor of International Business (Honours),A9683
11276.,UFKC2113 MICRO-CREDENTIAL: SUPPLY CHAIN MANAGEMENT,Bachelor of International Business (Honours),A9683
11277.,UFKC3094/ UFKC3084 MICRO-CREDENTIAL: INTERNATIONAL TRADE THEORY AND POLICY,Bachelor of International Business (Honours),A9683
11278.,UFKL2013/ UFKI2023 MICRO-CREDENTIAL: FINANCIAL MANAGEMENT,Bachelor of International Business (Honours),A9683
11279.,UFKR2013 MICRO-CREDENTIAL: OPERATIONS MANAGEMENT,Bachelor of International Business (Honours),A9683
11280.,UKFCC2103 MICRO-CREDENTIAL: FINANCIAL TECHNOLOGY,Bachelor of International Business (Honours),A9683
11281.,UFKL2023/ UFKF2053 MICRO-CREDENTIAL: ORGANISATIONAL BEHAVIOUR,Bachelor of International Business (Honours),A9683
11282.,UFKX2013 MICRO-CREDENTIAL: CONSUMER BEHAVIOUR,Bachelor of International Business (Honours),A9683
11283.,UFKH2023 MICRO-CREDENTIAL: INTERNATIONAL MANAGEMENT,Bachelor of International Business (Honours),A9683
11284.,UFKB4034 MICRO-CREDENTIAL: GLOBAL BUSINESS STRATEGY,Bachelor of International Business (Honours),A9683
11285.,UFKB3014 MICRO-CREDENTIAL: INTERNATIONAL LOGISTICS,Bachelor of International Business (Honours),A9683
11286.,UFKK3013 MICRO-CREDENTIAL: STRATEGIC MANAGEMENT,Bachelor of International Business (Honours),A9683
11287.,UFKB1203 MICRO-CREDENTIAL: INTERNATIONAL BUSINESS ENVIRONMENT STUDIES,Bachelor of International Business (Honours),A9683
11288.,UFKE2043 MICRO-CREDENTIAL: INTERNATIONAL BUSINESS LAW,Bachelor of International Business (Honours),A9683
11289.,UFKE3033 MICRO-CREDENTIAL: LEADERSHIP AND TEAM BUILDING,Bachelor of International Business (Honours),A9683
11290.,UFKB4024 MICRO-CREDENTIAL: MULTINATIONAL FINANCE,Bachelor of International Business (Honours),A9683
11291.,MFPB34022 MICRO-CREDENTIAL: ARTS AND CULTURAL PERFORMANCE,Bachelor of International Business (Honours),A9683
11292.,MFPB34032 MICRO-CREDENTIAL: COMMUNITY PROJECT,Bachelor of International Business (Honours),A9683
11293.,"MFPB34042 MICRO-CREDENTIAL: LANGUAGE, CULTURE AND SOCIAL STUDY ABROAD",Bachelor of International Business (Honours),A9683
11294.,MFPB34052 MICRO-CREDENTIAL: TEAM WORK AND COLLABORATIVE PROJECT,Bachelor of International Business (Honours),A9683
11295.,"MFPB34062 MICRO-CREDENTIAL: ART, CRAFT, AND DESIGN",Bachelor of International Business (Honours),A9683
11296.,MFPB34072 MICRO-CREDENTIAL: WORK ETHICS AND EQ,Bachelor of International Business (Honours),A9683
11297.,MFPB34112 MICRO-CREDENTIAL: WORK ETHICS AND EQ,Bachelor of International Business (Honours),A9683
11298.,MFPB34152 MICRO-CREDENTIAL: LEADERSHIP AND TEAMBUILDING,Bachelor of International Business (Honours),A9683
11299.,UKFB2103 MICRO-CREDENTIAL: FINANCIAL TECHNOLOGY,Bachelor of International Business (Honours),A9683
11300.,UFKB3023 MICRO-CREDENTIAL: DIGITAL ENTREPRENEURSHIP,Bachelor of International Business (Honours),A9683
11301.,UFKK2023 MICRO-CREDENTIAL: ORGANISATIONAL BEHAVIOUR,Bachelor of International Business (Honours),A9683
11302.,UFKN2013 MICRO-CREDENTIAL: CONSUMER BEHAVIOUR,Bachelor of International Business (Honours),A9683
11303.,UFKB2033 MICRO-CREDENTIAL: CUSTOMER RELATIONSHIP MANAGEMENT,Bachelor of International Business (Honours),A9683
11304.,UFKQ2013 MICRO-CREDENTIAL: CUSTOMER RELATIONSHIP MANAGEMENT,Bachelor of International Business (Honours),A9683
11305.,UFKT2013 MICRO-CREDENTIAL: INTERNATIONAL MARKETING,Bachelor of International Business (Honours),A9683
11306.,UFPB3123 MICRO-CREDENTIAL: TAMADUN ISLAM DAN TAMADUN ASIA (TITAS),Bachelor of International Business (Honours),A9683
11307.,UFPB3143 MICRO-CREDENTIAL: BAHASA MELAYU KOMUNIKASI 2,Bachelor of International Business (Honours),A9683
11308.,UFKB3033 MICRO-CREDENTIAL: CORPORATE GOVERNANCE,Bachelor of International Business (Honours),A9683
11309.,UFAB3033 MICRO-CREDENTIAL: PUBLIC SPEAKING AND ORAL PRESENTATION,Bachelor of International Business (Honours),A9683
11310.,"UFJB1033 MICRO-CREDENTIAL: UNDERSTANDING POLITICS: STATE, NATION AND GOVERNMENT",Bachelor of International Business (Honours),A9683
11311.,UFKE3053 MICRO-CREDENTIAL: FINANCIAL MARKETS AND REGULATIONS,Bachelor of International Business (Honours),A9683
11312.,UFAN1003 MICRO-CREDENTIAL: INTRODUCTION TO THAI LANGUAGE,Bachelor of International Business (Honours),A9683
11313.,UFKE1023 MICRO-CREDENTIAL: QUANTITATIVE TECHNIQUES II,Bachelor of International Business (Honours),A9683
11314.,UFKB1011 MICRO-CREDENTIAL: SUN ZI'S ART OF WAR AND BUSINESS STRATEGIES,Bachelor of International Business (Honours),A9683
11315.,UFKH1013 MICRO-CREDENTIAL: MANAGEMENT PRINCIPLES,Bachelor of International Business (Honours),A9683
11316.,MFPB32013 MICRO-CREDENTIAL: BAHASA KEBANGSAAN A,Bachelor of International Business (Honours),A9683
11317.,UFAE1003 MICRO-CREDENTIAL: INTRODUCTION TO GERMAN LANGUAGE,Bachelor of International Business (Honours),A9683
11318.,UFAH1003 MICRO-CREDENTIAL: INTRODUCTION TO FRENCH,Bachelor of International Business (Honours),A9683
11319.,UFAB2013 MICRO-CREDENTIAL: INTRODUCTION TO JAPANESE,Bachelor of International Business (Honours),A9683
11320.,UFAK1003 MICRO-CREDENTIAL: INTRODUCTION TO TAMIL LANGUAGE,Bachelor of International Business (Honours),A9683
11321.,UFKQ1013 MICRO-CREDENTIAL: ECONOMICS,Bachelor of International Business (Honours),A9683
11322.,UFKH3053 MICRO-CREDENTIAL: LAW OF ASEAN,Bachelor of International Business (Honours),A9683
11323.,UFKB4123 MICRO-CREDENTIAL: STRATEGIC MARKETING MANAGEMENT,Bachelor of International Business (Honours),A9683
11324.,UFKB2113 MICRO-CREDENTIAL: SUPPLY CHAIN MANAGEMENT,Bachelor of International Business (Honours),A9683
11325.,UFKB3094 MICRO-CREDENTIAL: INTERNATIONAL TRADE THEORY AND POLICY,Bachelor of International Business (Honours),A9683
11326.,UFKB2083 MICRO-CREDENTIAL: FINANCIAL MANAGEMENT,Bachelor of International Business (Honours),A9683
11327.,UFKF1033 MICRO-CREDENTIAL: BUSINESS ACCOUNTING I,Bachelor of International Business (Honours),A9683
11328.,UFKU1013 MICRO-CREDENTIAL: CORPORATE AND BUSINESS LAW,Bachelor of International Business (Honours),A9683
11329.,UFKL1013/UFKO1023 MICRO-CREDENTIAL: PRINCIPLES OF MARKETING,Bachelor of International Business (Honours),A9683
11330.,UFKX1013/  UFKF1053 MICRO-CREDENTIAL: ECONOMICS,Bachelor of International Business (Honours),A9683
11331.,UFKI1013/ UFKR1023 MICRO-CREDENTIAL: MANAGEMENT PRINCIPLES,Bachelor of International Business (Honours),A9683
11332.,UFKO1013/  UFKI1023 MICRO-CREDENTIAL: PRINCIPLES OF INTERNATIONAL BUSINESS,Bachelor of International Business (Honours),A9683
11333.,UFKR1013/UFKL1023  MICRO-CREDENTIAL: CROSS CULTURAL MANAGEMENT,Bachelor of International Business (Honours),A9683
11334.,MFPC33273 MICRO-CREDENTIAL: MARKETING COMMUNICATION,Bachelor of International Business (Honours),A9683
11335.,UFKC2123 MICRO-CREDENTIAL: INTERNATIONAL HUMAN RESOURCE MANAGEMENT,Bachelor of International Business (Honours),A9683
11336.,UFKW2013 MICRO-CREDENTIAL: OPERATIONS MANAGEMENT,Bachelor of International Business (Honours),A9683
11337.,MFPB3113 MICRO-CREDENTIAL: HUBUNGAN ETNIK,Bachelor of International Business (Honours),A9683
11338.,MFPB3173 MICRO-CREDENTIAL: MALAYSIAN STUDIES 3,Bachelor of International Business (Honours),A9683
11339.,UFKE1033 MICRO-CREDENTIAL: BUSINESS ACCOUNTING I,Bachelor of International Business (Honours),A9683
11340.,UFKH3013 MICRO-CREDENTIAL: E-COMMERCE,Bachelor of International Business (Honours),A9683
11341.,UFKE1013 MICRO-CREDENTIAL: QUANTITATIVE TECHNIQUES I,Bachelor of International Business (Honours),A9683
11342.,UFKN1013 MICRO-CREDENTIAL: CORPORATE AND BUSINESS LAW,Bachelor of International Business (Honours),A9683
11343.,UFKK1013 MICRO-CREDENTIAL: PRINCIPLES OF MARKETING,Bachelor of International Business (Honours),A9683
11344.,MFPB32023 MICRO-CREDENTIAL: ENGLISH FOR BUSINESS,Bachelor of International Business (Honours),A9683
11345.,UFKB1073 MICRO-CREDENTIAL: BUSINESS ACCOUNTING II,Bachelor of International Business (Honours),A9683
11346.,UFKB1113 MICRO-CREDENTIAL: INFORMATION SYSTEMS,Bachelor of International Business (Honours),A9683
11347.,MFPB34012 MICRO-CREDENTIAL: SOCIAL ENTREPRENEURSHIP PROJECT,Bachelor of International Business (Honours),A9683
11348.,UFJB2043 MICRO-CREDENTIAL: PUBLIC SPEAKING,Bachelor of Communication (Honours) Broadcasting,A9826
11349.,UFJB1114  MICRO-CREDENTIAL: DIGITAL MEDIA AND SOCIETY,Bachelor of Communication (Honours) Broadcasting,A9826
11350.,MFPB32073 MICRO-CREDENTIAL: COMMUNICATIVE ENGLISH,Bachelor of Communication (Honours) Broadcasting,A9826
11351.,UFJK1003 MICRO-CREDENTIAL: FUNDAMENTALS OF PSYCHOLOGY,Bachelor of Communication (Honours) Broadcasting,A9826
11352.,UFJB2043 MICRO-CREDENTIAL: SOCIOLOGY IN MALAYSIAN CONTEXT,Bachelor of Communication (Honours) Broadcasting,A9826
11353.,UFJE2083 MICRO-CREDENTIAL: FILM STUDIES,Bachelor of Communication (Honours) Broadcasting,A9826
11354.,UFJB1003 MICRO-CREDENTIAL: CREATIVE THINKING AND IDEA GENERATION,Bachelor of Communication (Honours) Broadcasting,A9826
11355.,UFKW1013 MICRO-CREDENTIAL: CROSS CULTURAL MANAGEMENT,Bachelor of Communication (Honours) Broadcasting,A9826
11356.,UFJB1013 MICRO-CREDENTIAL: ADVERTISING COPYWRITING,Bachelor of Communication (Honours) Broadcasting,A9826
11357.,UFJE1003 MICRO-CREDENTIAL: INTRODUCTION TO BROADCASTING,Bachelor of Communication (Honours) Broadcasting,A9826
11358.,UFJB3063 MICRO-CREDENTIAL: ENTREPRENEURSHIP,Bachelor of Communication (Honours) Broadcasting,A9826
11359.,MFPB34082 MICRO-CREDENTIAL: ORAL COMMUNICATION,Bachelor of Communication (Honours) Broadcasting,A9826
11360.,MFPB34092 MICRO-CREDENTIAL: MUSIC PERFORMANCE,Bachelor of Communication (Honours) Broadcasting,A9826
11361.,MFPB34102 MICRO-CREDENTIAL: MANAGING PERSONAL FINANCE,Bachelor of Communication (Honours) Broadcasting,A9826
11362.,MFPB34112 MICRO-CREDENTIAL: WORK ETHICS AND EQ,Bachelor of Communication (Honours) Broadcasting,A9826
11363.,MFPB34152 MICRO-CREDENTIAL: LEADERSHIP AND TEAMBUILDING,Bachelor of Communication (Honours) Broadcasting,A9826
11364.,UFJB1054 MICRO-CREDENTIAL: FUNDAMENTALS OF IMAGERY & COMPOSITION,Bachelor of Communication (Honours) Broadcasting,A9826
11365.,UFKB1011 MICRO-CREDENTIAL: SUN ZI'S ART OF WAR AND BUSINESS STRATEGIES,Bachelor of Communication (Honours) Broadcasting,A9826
11366.,UFJB2023 MICRO-CREDENTIAL: MEDIA PLANNING,Bachelor of Communication (Honours) Broadcasting,A9826
11367.,UFJB2024 MICRO-CREDENTIAL: SCREENPLAY AND SCRIPTWRITING,Bachelor of Communication (Honours) Broadcasting,A9826
11368.,UFJB2074 MICRO-CREDENTIAL: TRANSMEDIA STUDIES,Bachelor of Communication (Honours) Broadcasting,A9826
11369.,UFJB2124 MICRO-CREDENTIAL: VIDEO EDITING,Bachelor of Communication (Honours) Broadcasting,A9826
11370.,UFJB2114 MICRO-CREDENTIAL: MEDIA AND COMMUNICATION THEORIES,Bachelor of Communication (Honours) Broadcasting,A9826
11371.,MFPB33153 MICRO-CREDENTIAL: COMMUNICATION LAW,Bachelor of Communication (Honours) Broadcasting,A9826
11372.,UFJB1033 MICRO-CREDENTIAL: CREATIVE WRITING SKILLS,Bachelor of Communication (Honours) Broadcasting,A9826
11373.,UFJB1043 MICRO-CREDENTIAL: ENGLISH VOCABULARY,Bachelor of Communication (Honours) Broadcasting,A9826
11374.,UFJB1053 MICRO-CREDENTIAL: ENGLISH GRAMMAR IN CONTEXT,Bachelor of Communication (Honours) Broadcasting,A9826
11375.,UFJB1003 MICRO-CREDENTIAL: INTRODUCTION TO ADVERTISING,Bachelor of Communication (Honours) Broadcasting,A9826
11376.,UFJB1063  MICRO-CREDENTIAL: MULTIMEDIA DESIGN AND APPLICATIONS,Bachelor of Communication (Honours) Broadcasting,A9826
11377.,UFJB1083  MICRO-CREDENTIAL: RADIO BROADCASTING,Bachelor of Communication (Honours) Broadcasting,A9826
11378.,MFPB32013 MICRO-CREDENTIAL: BAHASA KEBANGSAAN A,Bachelor of Communication (Honours) Broadcasting,A9826
11379.,UFAE1003 MICRO-CREDENTIAL: INTRODUCTION TO GERMAN LANGUAGE,Bachelor of Communication (Honours) Broadcasting,A9826
11380.,UFAH1003 MICRO-CREDENTIAL: INTRODUCTION TO FRENCH,Bachelor of Communication (Honours) Broadcasting,A9826
11381.,UFAB2013 MICRO-CREDENTIAL: INTRODUCTION TO JAPANESE,Bachelor of Communication (Honours) Broadcasting,A9826
11382.,UFAK1003 MICRO-CREDENTIAL: INTRODUCTION TO TAMIL LANGUAGE,Bachelor of Communication (Honours) Broadcasting,A9826
11383.,UFAN1003 MICRO-CREDENTIAL: INTRODUCTION TO THAI LANGUAGE,Bachelor of Communication (Honours) Broadcasting,A9826
11384.,UFJB1073 MICRO-CREDENTIAL: COMMUNICATIVE TAMIL FOR HEALTH SCIENCES,Bachelor of Communication (Honours) Broadcasting,A9826
11385.,UFJB1093 MICRO-CREDENTIAL: INTRODUCTION TO KOREAN,Bachelor of Communication (Honours) Broadcasting,A9826
11386.,UFJB2044 MICRO-CREDENTIAL: TELEVISION PRODUCTION I,Bachelor of Communication (Honours) Broadcasting,A9826
11387.,UFJB2064 MICRO-CREDENTIAL: APPROACHES TO COMMUNICATION RESEARCH,Bachelor of Communication (Honours) Broadcasting,A9826
11388.,MFPB3113 MICRO-CREDENTIAL: HUBUNGAN ETNIK,Bachelor of Communication (Honours) Broadcasting,A9826
11389.,MFPB3173  MICRO-CREDENTIAL: MALAYSIAN STUDIES 3,Bachelor of Communication (Honours) Broadcasting,A9826
11390.,UFJB1023 MICRO-CREDENTIAL: ENGLISH PRONUNCIATION AND SPEAKING,Bachelor of Communication (Honours) Broadcasting,A9826
11391.,MFPB34062 MICRO-CREDENTIAL: STUDY SOFT SKILLS AND/OR LIFE SKILLS ABROAD,Bachelor of Communication (Honours) Broadcasting,A9826
11392.,MFPB3123 MICRO-CREDENTIAL: TAMADUN ISLAM DAN TAMADUN ASIA (TITAS),Bachelor of Communication (Honours) Broadcasting,A9826
11393.,MFPB3143 MICRO-CREDENTIAL: BAHASA MELAYU KOMUNIKASI 2,Bachelor of Communication (Honours) Broadcasting,A9826
11394.,UFAB1013 MICRO-CREDENTIAL: ENGLISH FOR MASS COMMUNICATION,Bachelor of Communication (Honours) Broadcasting,A9826
11395.,UFJB2013 MICRO-CREDENTIAL: CREATIVE STRATEGY FOR ADVERTISING,Bachelor of Communication (Honours) Broadcasting,A9826
11396.,UFJB3006 MICRO-CREDENTIAL: TELEVISION PRODUCTION II,Bachelor of Communication (Honours) Broadcasting,A9826
11397.,UFJB3143 MICRO-CREDENTIAL: ETHICS IN MEDIA COMMUNICATION,Bachelor of Communication (Honours) Broadcasting,A9826
11398.,UFJB3054 MICRO-CREDENTIAL: BROADCAST JOURNALISM,Bachelor of Communication (Honours) Broadcasting,A9826
11399.,UFJB2154 MICRO-CREDENTIAL: NEW MEDIA AND COMMUNICATION,Bachelor of Communication (Honours) Broadcasting,A9826
11400.,"UFJB1033 MICRO-CREDENTIAL: UNDERSTANDING POLITICS: STATE, NATION AND GOVERNMENT",Bachelor of Communication (Honours) Broadcasting,A9826
